,departamento,lat,lon,empleo,clae2,clae2_desc,empleo_rep
17016,Comuna 1,-34.593,-58.385,a. 1-9,49,Transporte terrestre y por tuberías,5
17017,Comuna 1,-34.627,-58.373,c. 50-199,49,Transporte terrestre y por tuberías,125
17018,Comuna 10,-34.629,-58.502,c. 50-199,49,Transporte terrestre y por tuberías,125
17019,Comuna 10,-34.633,-58.496,a. 1-9,49,Transporte terrestre y por tuberías,5
17020,Comuna 10,-34.638,-58.505,c. 50-199,49,Transporte terrestre y por tuberías,125
17021,Comuna 11,-34.603,-58.464,b. 10-49,49,Transporte terrestre y por tuberías,25
17022,Comuna 11,-34.603,-58.464,a. 1-9,49,Transporte terrestre y por tuberías,5
17023,Comuna 12,-34.578,-58.498,c. 50-199,49,Transporte terrestre y por tuberías,125
17024,Comuna 12,-34.541,-58.475,d. 200-499,49,Transporte terrestre y por tuberías,350
17025,Comuna 13,-34.54,-58.475,a. 1-9,49,Transporte terrestre y por tuberías,5
17026,Comuna 14,-34.577,-58.43,a. 1-9,49,Transporte terrestre y por tuberías,5
17027,Comuna 14,-34.577,-58.429,d. 200-499,49,Transporte terrestre y por tuberías,350
17028,Comuna 15,-34.587,-58.45,b. 10-49,49,Transporte terrestre y por tuberías,25
17029,Comuna 15,-34.593,-58.456,d. 200-499,49,Transporte terrestre y por tuberías,350
17030,Comuna 15,-34.586,-58.464,c. 50-199,49,Transporte terrestre y por tuberías,125
17031,Comuna 2,-34.59,-58.405,d. 200-499,49,Transporte terrestre y por tuberías,350
17032,Comuna 2,-34.597,-58.403,a. 1-9,49,Transporte terrestre y por tuberías,5
17033,Comuna 2,-34.597,-58.401,a. 1-9,49,Transporte terrestre y por tuberías,5
17034,Comuna 2,-34.596,-58.405,c. 50-199,49,Transporte terrestre y por tuberías,125
17035,Comuna 3,-34.611,-58.408,b. 10-49,49,Transporte terrestre y por tuberías,25
17036,Comuna 3,-34.605,-58.408,b. 10-49,49,Transporte terrestre y por tuberías,25
17037,Comuna 4,-34.654,-58.411,c. 50-199,49,Transporte terrestre y por tuberías,125
17038,Comuna 4,-34.657,-58.418,e. 500+,49,Transporte terrestre y por tuberías,500
17039,Comuna 4,-34.654,-58.393,a. 1-9,49,Transporte terrestre y por tuberías,5
17040,Comuna 4,-34.638,-58.358,d. 200-499,49,Transporte terrestre y por tuberías,350
17041,Comuna 4,-34.641,-58.4,c. 50-199,49,Transporte terrestre y por tuberías,125
17042,Comuna 4,-34.635,-58.38,d. 200-499,49,Transporte terrestre y por tuberías,350
17043,Comuna 4,-34.642,-58.388,d. 200-499,49,Transporte terrestre y por tuberías,350
17044,Comuna 4,-34.656,-58.385,a. 1-9,49,Transporte terrestre y por tuberías,5
17045,Comuna 4,-34.641,-58.364,c. 50-199,49,Transporte terrestre y por tuberías,125
17046,Comuna 4,-34.654,-58.393,b. 10-49,49,Transporte terrestre y por tuberías,25
17047,Comuna 4,-34.654,-58.41,b. 10-49,49,Transporte terrestre y por tuberías,25
17048,Comuna 4,-34.641,-58.364,a. 1-9,49,Transporte terrestre y por tuberías,5
17049,Comuna 4,-34.657,-58.418,d. 200-499,49,Transporte terrestre y por tuberías,350
17050,Comuna 4,-34.644,-58.404,a. 1-9,49,Transporte terrestre y por tuberías,5
17051,Comuna 4,-34.642,-58.369,c. 50-199,49,Transporte terrestre y por tuberías,125
17052,Comuna 4,-34.657,-58.418,e. 500+,49,Transporte terrestre y por tuberías,500
17053,Comuna 4,-34.641,-58.399,c. 50-199,49,Transporte terrestre y por tuberías,125
17054,Comuna 4,-34.654,-58.389,c. 50-199,49,Transporte terrestre y por tuberías,125
17055,Comuna 4,-34.657,-58.381,c. 50-199,49,Transporte terrestre y por tuberías,125
17056,Comuna 4,-34.657,-58.417,c. 50-199,49,Transporte terrestre y por tuberías,125
17057,Comuna 4,-34.652,-58.408,c. 50-199,49,Transporte terrestre y por tuberías,125
17058,Comuna 4,-34.636,-58.367,d. 200-499,49,Transporte terrestre y por tuberías,350
17059,Comuna 4,-34.649,-58.371,a. 1-9,49,Transporte terrestre y por tuberías,5
17060,Comuna 4,-34.657,-58.418,a. 1-9,49,Transporte terrestre y por tuberías,5
17061,Comuna 4,-34.641,-58.364,b. 10-49,49,Transporte terrestre y por tuberías,25
17062,Comuna 4,-34.654,-58.41,b. 10-49,49,Transporte terrestre y por tuberías,25
17063,Comuna 4,-34.652,-58.416,a. 1-9,49,Transporte terrestre y por tuberías,5
17064,Comuna 4,-34.657,-58.417,d. 200-499,49,Transporte terrestre y por tuberías,350
17065,Comuna 4,-34.628,-58.373,e. 500+,49,Transporte terrestre y por tuberías,500
17066,Comuna 4,-34.656,-58.385,c. 50-199,49,Transporte terrestre y por tuberías,125
17067,Comuna 4,-34.641,-58.363,c. 50-199,49,Transporte terrestre y por tuberías,125
17068,Comuna 4,-34.645,-58.414,e. 500+,49,Transporte terrestre y por tuberías,500
17069,Comuna 4,-34.654,-58.393,b. 10-49,49,Transporte terrestre y por tuberías,25
17070,Comuna 4,-34.657,-58.417,a. 1-9,49,Transporte terrestre y por tuberías,5
17071,Comuna 4,-34.649,-58.368,c. 50-199,49,Transporte terrestre y por tuberías,125
17072,Comuna 4,-34.657,-58.418,e. 500+,49,Transporte terrestre y por tuberías,500
17073,Comuna 4,-34.657,-58.418,d. 200-499,49,Transporte terrestre y por tuberías,350
17074,Comuna 4,-34.629,-58.378,c. 50-199,49,Transporte terrestre y por tuberías,125
17075,Comuna 4,-34.641,-58.4,a. 1-9,49,Transporte terrestre y por tuberías,5
17076,Comuna 4,-34.633,-58.357,d. 200-499,49,Transporte terrestre y por tuberías,350
17077,Comuna 4,-34.656,-58.385,a. 1-9,49,Transporte terrestre y por tuberías,5
17078,Comuna 4,-34.63,-58.397,c. 50-199,49,Transporte terrestre y por tuberías,125
17079,Comuna 4,-34.635,-58.367,a. 1-9,49,Transporte terrestre y por tuberías,5
17080,Comuna 5,-34.627,-58.413,a. 1-9,49,Transporte terrestre y por tuberías,5
17081,Comuna 6,-34.629,-58.443,a. 1-9,49,Transporte terrestre y por tuberías,5
17082,Comuna 7,-34.646,-58.451,c. 50-199,49,Transporte terrestre y por tuberías,125
17083,Comuna 7,-34.646,-58.451,d. 200-499,49,Transporte terrestre y por tuberías,350
17084,Comuna 7,-34.625,-58.475,a. 1-9,49,Transporte terrestre y por tuberías,5
17085,Comuna 8,-34.666,-58.469,a. 1-9,49,Transporte terrestre y por tuberías,5
17086,Comuna 8,-34.668,-58.486,c. 50-199,49,Transporte terrestre y por tuberías,125
17087,Comuna 9,-34.652,-58.474,c. 50-199,49,Transporte terrestre y por tuberías,125
17088,Comuna 9,-34.638,-58.526,e. 500+,49,Transporte terrestre y por tuberías,500
17089,Comuna 9,-34.673,-58.501,c. 50-199,49,Transporte terrestre y por tuberías,125
17090,Comuna 9,-34.638,-58.526,a. 1-9,49,Transporte terrestre y por tuberías,5
17091,Comuna 9,-34.673,-58.501,c. 50-199,49,Transporte terrestre y por tuberías,125
17092,Comuna 9,-34.638,-58.526,c. 50-199,49,Transporte terrestre y por tuberías,125
17093,Comuna 9,-34.637,-58.526,c. 50-199,49,Transporte terrestre y por tuberías,125
17094,Comuna 9,-34.673,-58.501,d. 200-499,49,Transporte terrestre y por tuberías,350
17095,Comuna 9,-34.673,-58.501,d. 200-499,49,Transporte terrestre y por tuberías,350
17096,Comuna 9,-34.652,-58.474,b. 10-49,49,Transporte terrestre y por tuberías,25
17097,Comuna 9,-34.637,-58.526,c. 50-199,49,Transporte terrestre y por tuberías,125
17098,Comuna 9,-34.648,-58.527,c. 50-199,49,Transporte terrestre y por tuberías,125
17099,Comuna 9,-34.638,-58.526,b. 10-49,49,Transporte terrestre y por tuberías,25
17100,Comuna 9,-34.656,-58.523,d. 200-499,49,Transporte terrestre y por tuberías,350
17101,Ensenada,-34.86,-57.9,a. 1-9,49,Transporte terrestre y por tuberías,5
17102,Ensenada,-34.88,-57.95,d. 200-499,49,Transporte terrestre y por tuberías,350
17103,Escobar,-34.349,-58.808,b. 10-49,49,Transporte terrestre y por tuberías,25
17104,Escobar,-34.377,-58.756,e. 500+,49,Transporte terrestre y por tuberías,500
17105,Escobar,-34.329,-58.757,a. 1-9,49,Transporte terrestre y por tuberías,5
17106,Escobar,-34.373,-58.762,d. 200-499,49,Transporte terrestre y por tuberías,350
17107,Escobar,-34.391,-58.744,c. 50-199,49,Transporte terrestre y por tuberías,125
17108,Escobar,-34.394,-58.743,d. 200-499,49,Transporte terrestre y por tuberías,350
17109,Escobar,-34.403,-58.743,a. 1-9,49,Transporte terrestre y por tuberías,5
17110,Esteban Echeverría,-34.74,-58.496,c. 50-199,49,Transporte terrestre y por tuberías,125
17111,Esteban Echeverría,-34.74,-58.496,a. 1-9,49,Transporte terrestre y por tuberías,5
17112,Esteban Echeverría,-34.804,-58.459,a. 1-9,49,Transporte terrestre y por tuberías,5
17113,Esteban Echeverría,-34.821,-58.466,a. 1-9,49,Transporte terrestre y por tuberías,5
17114,Esteban Echeverría,-34.778,-58.465,d. 200-499,49,Transporte terrestre y por tuberías,350
17115,Esteban Echeverría,-34.806,-58.456,d. 200-499,49,Transporte terrestre y por tuberías,350
17116,Esteban Echeverría,-34.86,-58.501,b. 10-49,49,Transporte terrestre y por tuberías,25
17117,Esteban Echeverría,-34.813,-58.466,a. 1-9,49,Transporte terrestre y por tuberías,5
17118,Ezeiza,-34.9,-58.59,d. 200-499,49,Transporte terrestre y por tuberías,350
17119,Ezeiza,-34.92,-58.61,a. 1-9,49,Transporte terrestre y por tuberías,5
17120,Ezeiza,-34.86,-58.52,c. 50-199,49,Transporte terrestre y por tuberías,125
17121,Ezeiza,-34.93,-58.61,c. 50-199,49,Transporte terrestre y por tuberías,125
17122,Ezeiza,-34.87,-58.52,b. 10-49,49,Transporte terrestre y por tuberías,25
17123,Ezeiza,-34.92,-58.61,a. 1-9,49,Transporte terrestre y por tuberías,5
17124,Florencio Varela,-34.78,-58.279,d. 200-499,49,Transporte terrestre y por tuberías,350
17125,Florencio Varela,-34.784,-58.297,c. 50-199,49,Transporte terrestre y por tuberías,125
17126,Florencio Varela,-34.776,-58.271,a. 1-9,49,Transporte terrestre y por tuberías,5
17127,Florencio Varela,-34.82,-58.251,d. 200-499,49,Transporte terrestre y por tuberías,350
17128,Florencio Varela,-34.858,-58.212,d. 200-499,49,Transporte terrestre y por tuberías,350
17129,Florencio Varela,-34.797,-58.272,a. 1-9,49,Transporte terrestre y por tuberías,5
17130,General Rodríguez,-34.56,-58.91,a. 1-9,49,Transporte terrestre y por tuberías,5
17131,General San Martín,-34.557,-58.525,a. 1-9,49,Transporte terrestre y por tuberías,5
17132,General San Martín,-34.58,-58.531,c. 50-199,49,Transporte terrestre y por tuberías,125
17133,Hurlingham,-34.62,-58.63,a. 1-9,49,Transporte terrestre y por tuberías,5
17134,Hurlingham,-34.6,-58.63,b. 10-49,49,Transporte terrestre y por tuberías,25
17135,Ituzaingó,-34.639,-58.712,a. 1-9,49,Transporte terrestre y por tuberías,5
17136,Ituzaingó,-34.654,-58.669,a. 1-9,49,Transporte terrestre y por tuberías,5
17137,José C. Paz,-34.51,-58.73,e. 500+,49,Transporte terrestre y por tuberías,500
17138,José C. Paz,-34.51,-58.73,a. 1-9,49,Transporte terrestre y por tuberías,5
17139,La Matanza,-34.81,-58.636,b. 10-49,49,Transporte terrestre y por tuberías,25
17140,La Matanza,-34.694,-58.549,d. 200-499,49,Transporte terrestre y por tuberías,350
17141,La Matanza,-34.743,-58.611,c. 50-199,49,Transporte terrestre y por tuberías,125
17142,La Matanza,-34.681,-58.548,c. 50-199,49,Transporte terrestre y por tuberías,125
17143,La Matanza,-34.673,-58.592,e. 500+,49,Transporte terrestre y por tuberías,500
17144,La Matanza,-34.743,-58.611,c. 50-199,49,Transporte terrestre y por tuberías,125
17145,La Matanza,-34.662,-58.52,e. 500+,49,Transporte terrestre y por tuberías,500
17146,La Matanza,-34.746,-58.61,d. 200-499,49,Transporte terrestre y por tuberías,350
17147,La Matanza,-34.719,-58.534,c. 50-199,49,Transporte terrestre y por tuberías,125
17148,La Matanza,-34.681,-58.548,c. 50-199,49,Transporte terrestre y por tuberías,125
17149,La Matanza,-34.743,-58.611,d. 200-499,49,Transporte terrestre y por tuberías,350
17150,La Matanza,-34.694,-58.549,c. 50-199,49,Transporte terrestre y por tuberías,125
17151,La Matanza,-34.702,-58.512,c. 50-199,49,Transporte terrestre y por tuberías,125
17152,La Matanza,-34.746,-58.61,c. 50-199,49,Transporte terrestre y por tuberías,125
17153,La Matanza,-34.743,-58.611,b. 10-49,49,Transporte terrestre y por tuberías,25
17154,La Matanza,-34.708,-58.53,d. 200-499,49,Transporte terrestre y por tuberías,350
17155,La Matanza,-34.661,-58.533,c. 50-199,49,Transporte terrestre y por tuberías,125
17156,La Matanza,-34.694,-58.549,c. 50-199,49,Transporte terrestre y por tuberías,125
17157,La Matanza,-34.743,-58.611,e. 500+,49,Transporte terrestre y por tuberías,500
17158,La Matanza,-34.719,-58.534,c. 50-199,49,Transporte terrestre y por tuberías,125
17159,La Matanza,-34.711,-58.59,e. 500+,49,Transporte terrestre y por tuberías,500
17160,La Plata,-34.96,-57.974,c. 50-199,49,Transporte terrestre y por tuberías,125
17161,La Plata,-34.96,-57.95,e. 500+,49,Transporte terrestre y por tuberías,500
17162,La Plata,-34.865,-58.057,a. 1-9,49,Transporte terrestre y por tuberías,5
17163,La Plata,-34.907,-58.015,d. 200-499,49,Transporte terrestre y por tuberías,350
17164,La Plata,-34.953,-57.955,b. 10-49,49,Transporte terrestre y por tuberías,25
17165,La Plata,-34.906,-58.007,b. 10-49,49,Transporte terrestre y por tuberías,25
17166,La Plata,-34.912,-57.947,b. 10-49,49,Transporte terrestre y por tuberías,25
17167,Lanús,-34.718,-58.405,b. 10-49,49,Transporte terrestre y por tuberías,25
17168,Lanús,-34.719,-58.405,d. 200-499,49,Transporte terrestre y por tuberías,350
17169,Lanús,-34.726,-58.4,b. 10-49,49,Transporte terrestre y por tuberías,25
17170,Lanús,-34.718,-58.394,d. 200-499,49,Transporte terrestre y por tuberías,350
17171,Lanús,-34.69,-58.403,b. 10-49,49,Transporte terrestre y por tuberías,25
17172,Lanús,-34.727,-58.371,b. 10-49,49,Transporte terrestre y por tuberías,25
17173,Lanús,-34.701,-58.364,c. 50-199,49,Transporte terrestre y por tuberías,125
17174,Lanús,-34.719,-58.405,c. 50-199,49,Transporte terrestre y por tuberías,125
17175,Lanús,-34.72,-58.404,a. 1-9,49,Transporte terrestre y por tuberías,5
17176,Lanús,-34.712,-58.393,b. 10-49,49,Transporte terrestre y por tuberías,25
17177,Lanús,-34.716,-58.35,c. 50-199,49,Transporte terrestre y por tuberías,125
17178,Lanús,-34.726,-58.4,b. 10-49,49,Transporte terrestre y por tuberías,25
17179,Lanús,-34.716,-58.35,c. 50-199,49,Transporte terrestre y por tuberías,125
17180,Lanús,-34.718,-58.405,b. 10-49,49,Transporte terrestre y por tuberías,25
17181,Lanús,-34.714,-58.404,a. 1-9,49,Transporte terrestre y por tuberías,5
17182,Lanús,-34.714,-58.404,b. 10-49,49,Transporte terrestre y por tuberías,25
17183,Lanús,-34.719,-58.405,a. 1-9,49,Transporte terrestre y por tuberías,5
17184,Lanús,-34.725,-58.4,b. 10-49,49,Transporte terrestre y por tuberías,25
17185,Lanús,-34.677,-58.4,b. 10-49,49,Transporte terrestre y por tuberías,25
17186,Lanús,-34.681,-58.405,b. 10-49,49,Transporte terrestre y por tuberías,25
17187,Lanús,-34.717,-58.406,b. 10-49,49,Transporte terrestre y por tuberías,25
17188,Lanús,-34.718,-58.405,b. 10-49,49,Transporte terrestre y por tuberías,25
17189,Lanús,-34.718,-58.416,c. 50-199,49,Transporte terrestre y por tuberías,125
17190,Lomas de Zamora,-34.776,-58.407,d. 200-499,49,Transporte terrestre y por tuberías,350
17191,Lomas de Zamora,-34.721,-58.444,d. 200-499,49,Transporte terrestre y por tuberías,350
17192,Lomas de Zamora,-34.76,-58.359,a. 1-9,49,Transporte terrestre y por tuberías,5
17193,Lomas de Zamora,-34.757,-58.402,c. 50-199,49,Transporte terrestre y por tuberías,125
17194,Lomas de Zamora,-34.76,-58.396,b. 10-49,49,Transporte terrestre y por tuberías,25
17195,Lomas de Zamora,-34.749,-58.425,a. 1-9,49,Transporte terrestre y por tuberías,5
17196,Lomas de Zamora,-34.725,-58.444,a. 1-9,49,Transporte terrestre y por tuberías,5
17197,Lomas de Zamora,-34.76,-58.36,d. 200-499,49,Transporte terrestre y por tuberías,350
17198,Lomas de Zamora,-34.763,-58.409,c. 50-199,49,Transporte terrestre y por tuberías,125
17199,Lomas de Zamora,-34.761,-58.397,e. 500+,49,Transporte terrestre y por tuberías,500
17200,Luján,-34.575,-59.09,c. 50-199,49,Transporte terrestre y por tuberías,125
17201,Malvinas Argentinas,-34.5,-58.711,a. 1-9,49,Transporte terrestre y por tuberías,5
17202,Malvinas Argentinas,-34.507,-58.702,b. 10-49,49,Transporte terrestre y por tuberías,25
17203,Malvinas Argentinas,-34.502,-58.656,b. 10-49,49,Transporte terrestre y por tuberías,25
17204,Malvinas Argentinas,-34.498,-58.697,c. 50-199,49,Transporte terrestre y por tuberías,125
17205,Marcos Paz,-34.78,-58.84,a. 1-9,49,Transporte terrestre y por tuberías,5
17206,Merlo,-34.668,-58.745,c. 50-199,49,Transporte terrestre y por tuberías,125
17207,Merlo,-34.669,-58.724,b. 10-49,49,Transporte terrestre y por tuberías,25
17208,Merlo,-34.72,-58.72,d. 200-499,49,Transporte terrestre y por tuberías,350
17209,Merlo,-34.665,-58.727,c. 50-199,49,Transporte terrestre y por tuberías,125
17210,Merlo,-34.665,-58.727,c. 50-199,49,Transporte terrestre y por tuberías,125
17211,Merlo,-34.667,-58.727,b. 10-49,49,Transporte terrestre y por tuberías,25
17212,Moreno,-34.649,-58.793,a. 1-9,49,Transporte terrestre y por tuberías,5
17213,Moreno,-34.588,-58.792,b. 10-49,49,Transporte terrestre y por tuberías,25
17214,Moreno,-34.647,-58.799,e. 500+,49,Transporte terrestre y por tuberías,500
17215,Moreno,-34.553,-58.821,d. 200-499,49,Transporte terrestre y por tuberías,350
17216,Moreno,-34.647,-58.8,a. 1-9,49,Transporte terrestre y por tuberías,5
17217,Morón,-34.612,-58.59,e. 500+,49,Transporte terrestre y por tuberías,500
17218,Morón,-34.632,-58.596,b. 10-49,49,Transporte terrestre y por tuberías,25
17219,Morón,-34.654,-58.599,d. 200-499,49,Transporte terrestre y por tuberías,350
17220,Morón,-34.611,-58.59,b. 10-49,49,Transporte terrestre y por tuberías,25
17221,Morón,-34.612,-58.59,a. 1-9,49,Transporte terrestre y por tuberías,5
17222,Morón,-34.648,-58.642,a. 1-9,49,Transporte terrestre y por tuberías,5
17223,Morón,-34.624,-58.593,c. 50-199,49,Transporte terrestre y por tuberías,125
17224,Morón,-34.648,-58.646,a. 1-9,49,Transporte terrestre y por tuberías,5
17225,Morón,-34.63,-58.571,b. 10-49,49,Transporte terrestre y por tuberías,25
17226,Morón,-34.657,-58.62,e. 500+,49,Transporte terrestre y por tuberías,500
17227,Morón,-34.648,-58.621,e. 500+,49,Transporte terrestre y por tuberías,500
17228,Morón,-34.671,-58.606,c. 50-199,49,Transporte terrestre y por tuberías,125
17229,Morón,-34.647,-58.622,c. 50-199,49,Transporte terrestre y por tuberías,125
17230,Morón,-34.638,-58.624,c. 50-199,49,Transporte terrestre y por tuberías,125
17231,Morón,-34.612,-58.59,a. 1-9,49,Transporte terrestre y por tuberías,5
17232,Morón,-34.612,-58.59,b. 10-49,49,Transporte terrestre y por tuberías,25
17233,Pilar,-34.446,-58.903,b. 10-49,49,Transporte terrestre y por tuberías,25
17234,Pilar,-34.494,-58.843,b. 10-49,49,Transporte terrestre y por tuberías,25
17235,Pilar,-34.496,-58.836,b. 10-49,49,Transporte terrestre y por tuberías,25
17236,Pilar,-34.488,-58.831,b. 10-49,49,Transporte terrestre y por tuberías,25
17237,Pilar,-34.449,-58.945,d. 200-499,49,Transporte terrestre y por tuberías,350
17238,Pilar,-34.464,-58.779,a. 1-9,49,Transporte terrestre y por tuberías,5
17239,Pilar,-34.446,-58.903,c. 50-199,49,Transporte terrestre y por tuberías,125
17240,Pilar,-34.464,-58.779,b. 10-49,49,Transporte terrestre y por tuberías,25
17241,Pilar,-34.45,-58.841,c. 50-199,49,Transporte terrestre y por tuberías,125
17242,Presidente Perón,-34.91,-58.37,b. 10-49,49,Transporte terrestre y por tuberías,25
17243,Presidente Perón,-34.92,-58.38,d. 200-499,49,Transporte terrestre y por tuberías,350
17244,Quilmes,-34.764,-58.307,a. 1-9,49,Transporte terrestre y por tuberías,5
17245,Quilmes,-34.742,-58.323,d. 200-499,49,Transporte terrestre y por tuberías,350
17246,Quilmes,-34.701,-58.293,a. 1-9,49,Transporte terrestre y por tuberías,5
17247,Quilmes,-34.743,-58.245,c. 50-199,49,Transporte terrestre y por tuberías,125
17248,Quilmes,-34.707,-58.231,b. 10-49,49,Transporte terrestre y por tuberías,25
17249,Quilmes,-34.745,-58.294,b. 10-49,49,Transporte terrestre y por tuberías,25
17250,Quilmes,-34.707,-58.231,b. 10-49,49,Transporte terrestre y por tuberías,25
17251,Quilmes,-34.735,-58.294,d. 200-499,49,Transporte terrestre y por tuberías,350
17252,Quilmes,-34.707,-58.231,d. 200-499,49,Transporte terrestre y por tuberías,350
17253,Quilmes,-34.745,-58.294,e. 500+,49,Transporte terrestre y por tuberías,500
17254,Quilmes,-34.737,-58.251,c. 50-199,49,Transporte terrestre y por tuberías,125
17255,Quilmes,-34.708,-58.231,a. 1-9,49,Transporte terrestre y por tuberías,5
17256,San Fernando,-34.451,-58.55,d. 200-499,49,Transporte terrestre y por tuberías,350
17257,San Fernando,-34.449,-58.567,c. 50-199,49,Transporte terrestre y por tuberías,125
17258,San Fernando,-34.436,-58.563,a. 1-9,49,Transporte terrestre y por tuberías,5
17259,San Fernando,-34.449,-58.567,a. 1-9,49,Transporte terrestre y por tuberías,5
17260,San Fernando,-34.449,-58.567,a. 1-9,49,Transporte terrestre y por tuberías,5
17261,San Isidro,-34.5,-58.55,a. 1-9,49,Transporte terrestre y por tuberías,5
17262,San Isidro,-34.467,-58.52,a. 1-9,49,Transporte terrestre y por tuberías,5
17263,San Isidro,-34.49,-58.581,c. 50-199,49,Transporte terrestre y por tuberías,125
17264,San Isidro,-34.48,-58.583,e. 500+,49,Transporte terrestre y por tuberías,500
17265,San Isidro,-34.516,-58.535,d. 200-499,49,Transporte terrestre y por tuberías,350
17266,San Isidro,-34.48,-58.53,a. 1-9,49,Transporte terrestre y por tuberías,5
17267,San Isidro,-34.516,-58.535,c. 50-199,49,Transporte terrestre y por tuberías,125
17268,San Isidro,-34.516,-58.56,a. 1-9,49,Transporte terrestre y por tuberías,5
17269,San Isidro,-34.49,-58.581,b. 10-49,49,Transporte terrestre y por tuberías,25
17270,San Miguel,-34.543,-58.711,b. 10-49,49,Transporte terrestre y por tuberías,25
17271,San Miguel,-34.534,-58.718,e. 500+,49,Transporte terrestre y por tuberías,500
17272,San Vicente,-35.02,-58.4,a. 1-9,49,Transporte terrestre y por tuberías,5
17273,Tigre,-34.469,-58.654,c. 50-199,49,Transporte terrestre y por tuberías,125
17274,Tigre,-34.471,-58.664,d. 200-499,49,Transporte terrestre y por tuberías,350
17275,Tigre,-34.477,-58.665,c. 50-199,49,Transporte terrestre y por tuberías,125
17276,Tigre,-34.413,-58.677,a. 1-9,49,Transporte terrestre y por tuberías,5
17277,Tres de Febrero,-34.569,-58.622,c. 50-199,49,Transporte terrestre y por tuberías,125
17278,Tres de Febrero,-34.608,-58.565,b. 10-49,49,Transporte terrestre y por tuberías,25
17279,Tres de Febrero,-34.61,-58.564,a. 1-9,49,Transporte terrestre y por tuberías,5
17280,Tres de Febrero,-34.564,-58.622,c. 50-199,49,Transporte terrestre y por tuberías,125
17281,Tres de Febrero,-34.599,-58.528,c. 50-199,49,Transporte terrestre y por tuberías,125
17282,Tres de Febrero,-34.61,-58.564,c. 50-199,49,Transporte terrestre y por tuberías,125
